Interval,Transfer(MB),Bitrate(MB),Retr,Cwnd(KB)
170.00-171.00 sec,1.49 MBytes,12.5 Mbits/sec,0,161 KBytes
171.00-172.00 sec,1.49 MBytes,12.5 Mbits/sec,0,168 KBytes
172.00-173.00 sec,1.49 MBytes,12.5 Mbits/sec,0,185 KBytes
173.00-174.00 sec,1.49 MBytes,12.5 Mbits/sec,2,156 KBytes
174.00-175.00 sec,1.49 MBytes,12.5 Mbits/sec,0,177 KBytes
175.00-176.00 sec,1.49 MBytes,12.5 Mbits/sec,3,139 KBytes
176.00-177.00 sec,1.49 MBytes,12.5 Mbits/sec,0,151 KBytes
177.00-178.00 sec,1.49 MBytes,12.5 Mbits/sec,0,156 KBytes
178.00-179.00 sec,1.49 MBytes,12.5 Mbits/sec,0,156 KBytes
179.00-180.00 sec,1.01 MBytes,8.34 Mbits/sec,0,160 KBytes
180.00-181.00 sec,1.49 MBytes,12.5 Mbits/sec,0,167 KBytes
181.00-182.00 sec,1.99 MBytes,16.7 Mbits/sec,0,174 KBytes
182.00-183.00 sec,1.49 MBytes,12.5 Mbits/sec,0,187 KBytes
183.00-184.00 sec,1.99 MBytes,16.7 Mbits/sec,5,150 KBytes
184.00-185.00 sec,1.49 MBytes,12.5 Mbits/sec,0,180 KBytes
185.00-186.00 sec,1.01 MBytes,8.34 Mbits/sec,1,141 KBytes
186.00-187.00 sec,1.49 MBytes,12.5 Mbits/sec,0,154 KBytes
187.00-188.00 sec,1.49 MBytes,12.5 Mbits/sec,0,158 KBytes
188.00-189.00 sec,1.49 MBytes,12.5 Mbits/sec,0,158 KBytes
189.00-190.00 sec,1.49 MBytes,12.5 Mbits/sec,0,161 KBytes
190.00-191.00 sec,1.49 MBytes,12.5 Mbits/sec,0,168 KBytes
191.00-192.00 sec,1.49 MBytes,12.5 Mbits/sec,0,175 KBytes
192.00-193.00 sec,1.99 MBytes,16.7 Mbits/sec,1,182 KBytes
193.00-194.00 sec,1.01 MBytes,8.34 Mbits/sec,1,158 KBytes
194.00-195.00 sec,1.99 MBytes,16.7 Mbits/sec,0,178 KBytes
195.00-196.00 sec,1.49 MBytes,12.5 Mbits/sec,0,188 KBytes
196.00-197.00 sec,1.99 MBytes,16.7 Mbits/sec,0,191 KBytes
197.00-198.00 sec,1.49 MBytes,12.5 Mbits/sec,0,191 KBytes
198.00-199.00 sec,1.99 MBytes,16.7 Mbits/sec,0,191 KBytes
199.00-200.00 sec,1.49 MBytes,12.5 Mbits/sec,0,197 KBytes
200.00-201.00 sec,1.55 MBytes,13.0 Mbits/sec,1,154 KBytes
201.00-202.00 sec,1.99 MBytes,16.7 Mbits/sec,0,180 KBytes
202.00-203.00 sec,1.49 MBytes,12.5 Mbits/sec,0,194 KBytes
203.00-204.00 sec,1.99 MBytes,16.7 Mbits/sec,0,201 KBytes
204.00-205.00 sec,1.55 MBytes,13.0 Mbits/sec,2,167 KBytes
205.00-206.00 sec,1.49 MBytes,12.5 Mbits/sec,0,187 KBytes
206.00-207.00 sec,1.49 MBytes,12.5 Mbits/sec,2,144 KBytes
207.00-208.00 sec,1.49 MBytes,12.5 Mbits/sec,0,156 KBytes
208.00-209.00 sec,1.49 MBytes,12.5 Mbits/sec,0,160 KBytes
209.00-210.00 sec,1.49 MBytes,12.5 Mbits/sec,0,160 KBytes
210.00-211.00 sec,1.49 MBytes,12.5 Mbits/sec,0,164 KBytes
211.00-212.00 sec,1.49 MBytes,12.5 Mbits/sec,0,171 KBytes
212.00-213.00 sec,1.49 MBytes,12.5 Mbits/sec,0,178 KBytes
213.00-214.00 sec,1.49 MBytes,12.5 Mbits/sec,0,197 KBytes
214.00-215.00 sec,1.99 MBytes,16.7 Mbits/sec,2,163 KBytes
215.00-216.00 sec,1.49 MBytes,12.5 Mbits/sec,2,130 KBytes
216.00-217.00 sec,1.01 MBytes,8.34 Mbits/sec,0,146 KBytes
217.00-218.00 sec,1.49 MBytes,12.5 Mbits/sec,0,151 KBytes
218.00-219.00 sec,1.49 MBytes,12.5 Mbits/sec,0,151 KBytes
219.00-220.00 sec,1.49 MBytes,12.5 Mbits/sec,0,154 KBytes
220.00-221.00 sec,1.49 MBytes,12.5 Mbits/sec,0,161 KBytes
221.00-222.00 sec,1.49 MBytes,12.5 Mbits/sec,0,168 KBytes
222.00-223.00 sec,1.49 MBytes,12.5 Mbits/sec,0,178 KBytes
223.00-224.00 sec,1.49 MBytes,12.5 Mbits/sec,6,141 KBytes
224.00-225.00 sec,1.49 MBytes,12.5 Mbits/sec,0,170 KBytes
225.00-226.00 sec,1.49 MBytes,12.5 Mbits/sec,0,185 KBytes
226.00-227.00 sec,1.49 MBytes,12.5 Mbits/sec,1,144 KBytes
227.00-228.00 sec,1.49 MBytes,12.5 Mbits/sec,0,154 KBytes
228.00-229.00 sec,1.01 MBytes,8.34 Mbits/sec,0,157 KBytes
229.00-230.00 sec,1.49 MBytes,12.5 Mbits/sec,0,157 KBytes
230.00-231.00 sec,1.49 MBytes,12.5 Mbits/sec,0,163 KBytes
231.00-232.00 sec,1.49 MBytes,12.5 Mbits/sec,0,170 KBytes
232.00-233.00 sec,1.99 MBytes,16.7 Mbits/sec,0,177 KBytes
233.00-234.00 sec,1.49 MBytes,12.5 Mbits/sec,0,198 KBytes
234.00-235.00 sec,1.49 MBytes,12.5 Mbits/sec,4,163 KBytes
235.00-236.00 sec,1.49 MBytes,12.5 Mbits/sec,0,184 KBytes
236.00-237.00 sec,1.62 MBytes,13.6 Mbits/sec,3,143 KBytes
237.00-238.00 sec,1.49 MBytes,12.5 Mbits/sec,0,156 KBytes
238.00-239.00 sec,1.49 MBytes,12.5 Mbits/sec,0,160 KBytes
239.00-240.00 sec,1.49 MBytes,12.5 Mbits/sec,0,160 KBytes
