Interval,Transfer(MB),Bitrate(MB),Retr,Cwnd(KB)
207.00-208.00,1.01,0.99,0,127
208.00-209.00,1.01,0.99,0,130
209.00-210.00,1.49,1.49,0,137
210.00-211.00,1.01,0.99,0,144
211.00-212.00,1.49,1.49,0,151
212.00-213.00,1.49,1.49,0,171
213.00-214.00,1.49,1.49,2,143
214.00-215.00,1.49,1.49,0,163
215.00-216.00,1.01,0.99,2,127
216.00-217.00,1.49,1.49,0,139
217.00-218.00,1.01,0.99,0,141
218.00-219.00,1.49,1.49,0,141
219.00-220.00,1.49,1.49,0,147
220.00-221.00,1.49,1.49,0,154
221.00-222.00,1.49,1.49,0,161
222.00-223.00,1.49,1.49,0,177
223.00-224.00,1.55,1.55,12,147
224.00-225.00,1.06,1.06,1,119
225.00-226.00,1.01,0.99,0,133
226.00-227.00,1.62,1.62,0,137
227.00-228.00,1.01,0.99,0,137
228.00-229.00,1.49,1.49,0,143
229.00-230.00,1.49,1.49,0,150
230.00-231.00,1.01,0.99,0,157
231.00-232.00,1.49,1.49,1,117
232.00-233.00,1.49,1.49,0,143
233.00-234.00,1.49,1.49,0,157
234.00-235.00,1.49,1.49,0,164
235.00-236.00,1.49,1.49,0,164
236.00-237.00,1.49,1.49,0,164
237.00-238.00,1.49,1.49,3,141
238.00-239.00,1.01,0.99,0,140
239.00-240.00,1.49,1.49,0,156
